symbol,entry_date,entry_price,quantity,momentum_return_at_entry,rank_at_entry
MCX ,30-04-2026,2960,33,1.236,1
NATIONALUM ,30-04-2026,417.8,239,1.025,2
BSE ,30-04-2026,3627.9,27,0.868,3
RBLBANK ,30-04-2026,335.6,297,0.803,4
ANANDRATHI ,30-04-2026,3609.1,27,0.764,5
KARURVYSYA ,30-04-2026,295.15,338,0.76,6
INDIANB ,30-04-2026,852.2,117,0.673,7
LAURUSLABS ,30-04-2026,1100.15,90,0.673,8
ASHOKLEY ,30-04-2026,161.1,620,0.611,9
CANBK ,30-04-2026,134.18,745,0.574,10
CUMMINSIND ,30-04-2026,5258.6,19,0.57,11
UNIONBANK ,30-04-2026,165.8,603,0.522,12
HEROMOTOCO ,30-04-2026,5068,19,0.48,13
VEDL ,30-04-2026,270.95,369,0.477,14
TVSMOTOR ,30-04-2026,3465,28,0.474,15
